episode,phase,policy,objective_comparable,n_vessels,fleet_objective_value,fleet_feasible,realized_total_missed,realized_service_cost_usd,realized_delay_cost_usd,realized_misconnection_cost_usd,realized_fuel_cost_usd,realized_ets_cost_eur,realized_carbon_price_eur,realized_fuel_price_usd,realized_fueleu_compliant,theta_mean_h,theta_max_h
1,train,additive,False,3,1418970.9375,True,8,628860.0,626860.0,2000.0,1781529.8337127566,988627.619303155,79.1084707458682,443.9171849076931,False,0.8,3.0
2,train,additive,False,3,1468475.9375,True,8,628860.0,626860.0,2000.0,2346502.425844727,973145.7873280619,77.8696382188573,584.6956540094708,False,1.6,6.0
3,train,additive,False,3,1405406.09375,True,9,601960.0,598960.0,3000.0,1912252.9898501304,761316.3491693231,61.6666595435184,482.33549643978733,False,2.5,9.0
4,train,additive,False,3,1494724.53125,True,10,700970.0,697970.0,3000.0,2319613.0148180705,799008.8437787895,64.92317199919893,586.924568118039,False,3.5,12.0
5,train,additive,False,3,1478429.0625,True,9,727870.0,725870.0,2000.0,2580470.0566074713,714067.4086715208,56.67009171771476,637.7230818036111,False,4.4,15.0
6,train,additive,False,3,1418970.9375,True,9,727870.0,725870.0,2000.0,2241524.8923592926,592611.822771657,47.41989211107776,558.537612610698,False,5.3,18.0
7,train,additive,False,3,1473954.21875,True,10,700970.0,697970.0,3000.0,2548782.7204533415,869595.6554037279,71.89078657574917,656.1562900977016,False,6.3,21.0
8,train,additive,False,3,1537700.625,True,8,444920.0,440920.0,4000.0,2350149.0007465095,856715.3005900376,69.99605558927382,597.9309721636915,False,7.1,24.0
9,train,additive,False,3,1573140.78125,True,8,410980.0,406980.0,4000.0,2765053.908864419,751027.8139319902,62.1298401995741,712.3057113653246,False,7.9,27.0
10,train,additive,False,3,1508289.375,True,9,727870.0,725870.0,2000.0,2916126.6122791604,853797.89797353,68.53172552464895,728.8892918799697,False,8.8,30.0
11,train,additive,False,3,1596658.75,True,7,437880.0,434880.0,3000.0,2564402.4879667754,597932.906679503,48.443889533269896,646.9807333442234,False,9.2,30.0
12,train,additive,False,3,1535307.03125,True,7,311970.0,307970.0,4000.0,2022269.8721979312,725904.754957366,59.73571426673033,518.2175774682137,False,9.6,30.0
13,train,additive,False,3,1609705.625,True,7,437880.0,434880.0,3000.0,2407449.5609181444,978253.6528439014,78.41319992770114,600.9156351273173,False,10.0,30.0
14,train,additive,False,3,1616116.875,True,6,154930.0,149930.0,5000.0,2615332.404814563,653808.8455275652,54.39103205072804,677.5198296220686,False,10.3,30.0
15,train,additive,False,3,1602552.03125,True,7,128030.0,122030.0,6000.0,2587995.4907121956,660722.0486841262,55.66748449618613,678.9924116037121,False,10.7,30.0
16,train,additive,False,3,1534088.90625,True,10,517030.0,512030.0,5000.0,2488010.415383694,533339.5062406285,43.74736861104689,635.5050167506483,False,11.2,30.0
17,train,additive,False,3,1602552.03125,True,7,128030.0,122030.0,6000.0,2054464.9643217246,789636.9627454951,66.52888831058986,539.0141233577879,False,11.4,30.0
18,train,additive,False,3,1518242.5,True,9,727870.0,725870.0,2000.0,2691528.050170796,1062139.3102825384,84.55347601712131,667.2176130155358,False,11.6,30.0
19,train,additive,False,3,1543280.46875,True,7,311970.0,307970.0,4000.0,2329801.342381649,611895.66799474,50.032220251339616,593.2119574670393,False,11.8,30.0
20,train,additive,False,3,1616116.875,True,8,352950.0,347950.0,5000.0,2795333.729595326,892798.8951573765,74.27286071997952,724.1504096097991,False,11.9,30.0
21,train,additive,False,3,1556845.3125,True,8,536890.0,533890.0,3000.0,2305768.5536582004,944803.4286070091,76.30782604900523,579.911792957047,False,12.0,30.0
22,train,additive,False,3,1586705.625,True,7,437880.0,434880.0,3000.0,2660012.4959405386,1024255.0365834525,83.68452440257809,676.7672420600059,False,12.1,30.0
23,train,additive,False,3,1528195.625,True,9,727870.0,725870.0,2000.0,2517377.417195882,512530.28481102875,40.46805127313213,618.955888923676,False,12.2,30.0
24,train,additive,False,3,1524135.78125,True,9,418020.0,413020.0,5000.0,1962196.9300767924,914818.4822334473,75.67965534486576,505.4816745656944,False,12.4,30.0
25,train,additive,False,3,1547653.75,True,8,444920.0,440920.0,4000.0,2080051.1898263963,589954.8860354141,47.797518767488384,524.7823032859426,False,12.5,30.0
26,train,additive,False,3,1546892.1875,True,6,338870.0,335870.0,3000.0,2705719.8520068973,867156.595980894,70.62593227838511,686.2274684596146,False,12.6,30.0
27,train,additive,False,3,1491225.9375,True,8,628860.0,626860.0,2000.0,2044825.7343002143,726073.8569931902,57.02183759085864,500.07520234575577,False,12.7,30.0
28,train,additive,False,3,1616116.875,True,6,154930.0,149930.0,5000.0,2337840.0567577584,595487.8046510422,49.53924452101491,605.6335301861831,False,12.8,30.0
29,train,additive,False,3,1581781.71875,True,7,128030.0,122030.0,6000.0,1982817.7816208464,870495.8122756914,74.6683761797597,529.6286058105995,False,13.0,30.0
30,train,additive,False,3,1586705.625,True,9,635900.0,632900.0,3000.0,2528976.2329591736,508941.50787455327,41.581956167166794,643.4286579582076,False,13.1,30.0
