episode,phase,policy,vessel_idx,vessel_id,estimated_delay_h,realized_delay_h,realized_total_missed,realized_service_cost_usd,realized_ets_cost_eur,vessel_objective_value,vessel_feasible,n_skipped,n_swapped
1,train,additive,1,V1,51.656604957053176,41.97820493137682,2,150930.0,336086.046368257,498924.0625,True,2,2
1,train,additive,2,V2,35.520190725114055,51.478664495117705,3,186940.0,327800.8122755161,476339.21875,True,2,2
1,train,additive,3,V3,57.00541434967749,57.18688596729013,3,290990.0,324740.7606593818,443707.65625,True,3,0
2,train,additive,1,V1,57.520166822399105,42.24313676662078,2,150930.0,330822.9649031506,498924.0625,True,2,2
2,train,additive,2,V2,43.81529913301875,61.653851089727866,3,186940.0,322667.4769348287,525844.21875,True,2,2
2,train,additive,3,V3,42.4517784880252,59.344236435458576,3,290990.0,319655.3454900826,443707.65625,True,3,0
3,train,additive,1,V1,43.322282362130785,44.844209187924584,3,124030.0,252646.940738494,485359.21875,True,4,0
3,train,additive,2,V2,31.479766229324294,72.67929913579883,3,186940.0,255527.39040577176,476339.21875,True,2,2
3,train,additive,3,V3,55.62181136177285,56.725879177221195,3,290990.0,253142.01802505736,443707.65625,True,3,0
4,train,additive,1,V1,37.26327577253008,58.375745487989334,3,124030.0,265988.80026996206,485359.21875,True,4,0
4,train,additive,2,V2,55.71992153626853,52.761411831195005,4,285950.0,266510.0217544137,565657.65625,True,3,0
4,train,additive,3,V3,43.264738525684926,46.23139221832412,3,290990.0,266510.0217544137,443707.65625,True,3,0
5,train,additive,1,V1,45.141915072304016,65.12715817819829,2,150930.0,240758.37761947923,498924.0625,True,2,2
5,train,additive,2,V2,44.80335011989254,50.28475192550051,4,285950.0,240677.95479010014,535797.34375,True,2,2
5,train,additive,3,V3,50.78603867551507,44.47101489296051,3,290990.0,232631.07626194137,443707.65625,True,3,0
6,train,additive,1,V1,56.769296293663736,70.11228433276722,2,150930.0,201459.64027061936,498924.0625,True,2,2
6,train,additive,2,V2,29.13551693216111,58.683566127006586,4,285950.0,196493.23271541685,476339.21875,True,2,2
6,train,additive,3,V3,47.19656192522159,55.11426055560659,3,290990.0,194658.9497856208,443707.65625,True,3,0
7,train,additive,1,V1,20.278758760408273,56.38241432058682,3,124030.0,279371.41021493037,464588.90625,True,3,0
7,train,additive,2,V2,48.65224302468459,56.97790081941852,4,285950.0,295112.12259439874,565657.65625,True,3,0
7,train,additive,3,V3,42.33868759633997,48.94999287191269,3,290990.0,295112.12259439874,443707.65625,True,3,0
8,train,additive,1,V1,49.922287119804906,58.13908211457554,2,150930.0,297372.67529723374,498924.0625,True,2,2
8,train,additive,2,V2,60.91488188959663,57.23079742625275,3,3000.0,272008.38509192935,595068.90625,True,3,0
8,train,additive,3,V3,37.852067606791834,68.6386222981391,3,290990.0,287334.24020087457,443707.65625,True,3,0
9,train,additive,1,V1,36.35820576418305,50.57464288107816,3,124030.0,254544.5816457194,485359.21875,True,4,0
9,train,additive,2,V2,37.347652131425285,53.40815128619939,4,285950.0,255043.3774768591,565657.65625,True,3,0
9,train,additive,3,V3,64.0294120358428,62.39412672300948,1,1000.0,241439.85480941174,522123.90625,True,3,0
10,train,additive,1,V1,71.96755836897593,42.77625687460097,2,150930.0,291151.58547767537,498924.0625,True,2,2
10,train,additive,2,V2,33.880623366848376,44.65691948325601,4,285950.0,281323.15624792734,565657.65625,True,3,0
