episode,phase,policy,objective_comparable,n_vessels,fleet_objective_value,fleet_feasible,realized_total_missed,realized_service_cost_usd,realized_delay_cost_usd,realized_misconnection_cost_usd,realized_fuel_cost_usd,realized_ets_cost_eur,realized_carbon_price_eur,realized_fuel_price_usd,realized_fueleu_compliant,theta_mean_h,theta_max_h
1,train,spsa,False,3,1418970.9375,True,8,628860.0,626860.0,2000.0,1781529.8337127566,988627.619303155,79.1084707458682,443.9171849076931,False,0.0,0.0
2,train,spsa,False,3,1341802.34375,True,7,403940.0,400940.0,3000.0,2390097.001214794,882055.1378362674,72.45741116080646,611.3940588856452,False,0.0,0.0
3,train,spsa,False,3,1376137.5,True,6,430840.0,428840.0,2000.0,2153567.3202553093,865166.401435978,69.01567193515754,534.9647123751739,False,0.0,0.0
4,train,spsa,False,3,1418970.9375,True,8,628860.0,626860.0,2000.0,2302720.3800982526,721551.6316177477,57.73745849999632,573.7861524510431,False,0.0,0.0
5,train,spsa,False,3,1478429.0625,True,8,628860.0,626860.0,2000.0,2728049.6222978993,489289.8670063659,38.831210195387115,674.1950785246545,False,0.0,0.0
6,train,spsa,False,3,1411097.8125,True,10,849900.0,847900.0,2000.0,2175507.157271579,949574.6933095525,77.69875978765106,554.3245070782565,False,0.0,0.0
7,train,spsa,False,3,1508289.375,True,8,634900.0,632900.0,2000.0,2210223.4872743925,653308.0901795807,52.43902664258807,552.4479718241012,False,0.0,0.0
8,train,spsa,False,3,1464864.21875,True,9,601960.0,598960.0,3000.0,2307100.4271693714,877628.2123991472,70.49797110855845,577.1001013155446,False,0.0,0.0
9,train,spsa,False,3,1384635.78125,True,9,601960.0,598960.0,3000.0,2354044.9394347034,849607.3647726116,70.01442692746572,604.091364684173,False,0.0,0.0
10,train,spsa,False,3,1331732.5,True,8,628860.0,626860.0,2000.0,2253404.726805535,1276378.738302743,103.23991928910505,567.5784587640535,False,12.0,30.0
11,train,spsa,False,3,1434140.78125,True,8,508990.0,505990.0,3000.0,2016748.6064983439,744152.3266795059,61.32409023213946,517.5349023783077,False,12.0,30.0
12,train,spsa,False,3,1493860.46875,True,10,700970.0,697970.0,3000.0,2451124.0622177008,1050506.0887636498,85.38830900443418,620.41707334847,False,9.0,30.0
13,train,spsa,False,3,1478429.0625,True,6,430840.0,428840.0,2000.0,2995516.1779580014,825752.0005031498,65.53364715476937,740.2952821360865,False,9.0,30.0
14,train,spsa,False,3,1376137.5,True,6,430840.0,428840.0,2000.0,2594300.2116497727,889483.6845518897,70.95549950023236,644.44656709201,False,9.0,30.0
15,train,spsa,False,3,1478429.0625,True,8,628860.0,626860.0,2000.0,2502113.7467301055,529712.8078728035,42.0392711411494,618.3585372370885,False,9.0,30.0
16,train,spsa,False,3,1435595.625,True,8,628860.0,626860.0,2000.0,2470884.3327758247,782853.451350068,61.93897123341726,608.7718203659207,False,9.0,30.0
17,train,spsa,False,3,1418970.9375,True,8,628860.0,626860.0,2000.0,2167189.6164103914,812895.1631466907,65.04662825278456,540.0149329372387,False,9.0,30.0
18,train,spsa,False,3,1478429.0625,True,8,628860.0,626860.0,2000.0,2344746.514041021,1009453.8214320886,80.11266156479839,579.4676706880198,False,9.0,30.0
19,train,spsa,False,3,1468475.9375,True,9,727870.0,725870.0,2000.0,2663411.378640947,830573.2432104503,66.46120119436674,663.6622407795387,False,9.0,30.0
20,train,spsa,False,3,1435595.625,True,7,529850.0,527850.0,2000.0,2719898.610510287,617780.8466319116,48.87850979273429,670.1234883265216,False,9.0,30.0
21,train,spsa,False,3,1418970.9375,True,9,727870.0,725870.0,2000.0,2342404.0817592307,751579.3218448468,60.14022836755355,583.6744387961252,False,9.0,30.0
22,train,spsa,False,3,1418970.9375,True,6,436880.0,434880.0,2000.0,2403614.6527591217,1023209.4856653276,81.87565882562038,598.9267370460153,False,9.0,30.0
23,train,spsa,False,3,1518242.5,True,9,727870.0,725870.0,2000.0,2496844.4531961796,974776.9257797571,77.59883907699196,618.9564310975397,False,9.0,30.0
24,train,spsa,False,3,1468475.9375,True,8,628860.0,626860.0,2000.0,2394251.7425972996,765003.2193614235,61.21438812523275,596.5937103164445,False,9.0,30.0
25,train,spsa,False,3,1425642.5,True,8,628860.0,626860.0,2000.0,2242172.8559056832,622011.7697323458,49.618848083331436,556.9750922914288,False,24.0,30.0
26,train,spsa,False,3,1534088.90625,True,9,418020.0,413020.0,5000.0,2143431.764921052,679250.8696605582,55.71580171112955,547.4903285161513,False,24.0,30.0
27,train,spsa,False,3,1531289.375,True,9,727870.0,725870.0,2000.0,2844410.1018063216,971624.4912992963,76.53854312055692,697.7382932974074,False,24.0,30.0
28,train,spsa,False,3,1581781.71875,True,8,204020.0,198020.0,6000.0,1905761.5714845078,620823.8121865033,53.252302074272485,509.0461934871652,False,24.0,30.0
29,train,spsa,False,3,1583093.90625,True,8,410980.0,406980.0,4000.0,2264163.646320521,675311.2007301351,55.39264892216861,578.328509834325,False,24.0,30.0
30,train,spsa,False,3,1609705.625,True,7,437880.0,434880.0,3000.0,2615148.688518625,718570.7420982524,57.597976862691866,652.7587371401517,False,24.0,30.0
