episode,phase,policy,vessel_idx,vessel_id,estimated_delay_h,realized_delay_h,realized_total_missed,realized_service_cost_usd,realized_ets_cost_eur,vessel_objective_value,vessel_feasible,n_skipped,n_swapped
1,train,spsa,1,V1,51.656604957053176,41.97820493137682,2,150930.0,336086.046368257,498924.0625,True,2,2
1,train,spsa,2,V2,35.520190725114055,51.478664495117705,3,186940.0,327800.8122755161,476339.21875,True,2,2
1,train,spsa,3,V3,57.00541434967749,57.18688596729013,3,290990.0,324740.7606593818,443707.65625,True,3,0
2,train,spsa,1,V1,32.691764119944935,61.904853540677685,3,124030.0,281573.3434101265,464588.90625,True,3,0
2,train,spsa,2,V2,34.40055343195823,40.528875275769124,3,186940.0,300240.8972130704,476339.21875,True,2,2
2,train,spsa,3,V3,36.96657256798066,49.705072909361974,1,92970.0,300240.8972130704,400874.21875,True,2,2
3,train,spsa,1,V1,52.972913199311954,50.84642739820315,2,150930.0,293207.5933138582,498924.0625,True,2,2
3,train,spsa,2,V2,36.12554255961763,45.97072821912974,3,186940.0,285979.40406105993,476339.21875,True,2,2
3,train,spsa,3,V3,22.41544463122429,70.35755991995993,1,92970.0,285979.40406105993,400874.21875,True,2,2
4,train,spsa,1,V1,58.990830508272154,65.02757825304604,2,150930.0,245293.000504988,498924.0625,True,2,2
4,train,spsa,2,V2,32.08328738712523,48.45853559932203,3,186940.0,239246.0076218982,476339.21875,True,2,2
4,train,spsa,3,V3,48.36757791113301,62.77337576061744,3,290990.0,237012.62349086156,443707.65625,True,3,0
5,train,spsa,1,V1,62.29371543706638,59.54420338214363,2,150930.0,164971.30822041628,498924.0625,True,2,2
5,train,spsa,2,V2,51.15299070176566,51.71474776877106,3,186940.0,164916.2012725101,535797.34375,True,2,2
5,train,spsa,3,V3,53.76172084069933,62.5086898873126,3,290990.0,159402.35751343952,443707.65625,True,3,0
6,train,spsa,1,V1,29.020867206552694,63.137636899662105,3,272960.0,311666.9163588714,401732.5,True,2,0
