instance_id,sweep_type,sweep_value,alpha,initial_delay_h,solver_name,status,feasible,optimal,runtime_s,mip_gap,best_bound,objective_value,fuel_cost_usd,port_call_cost_usd,strategy_penalty_usd,port_penalty_cost_usd,fueleu_penalty_usd,delay_cost_usd,misconnection_cost_usd,operational_cost_usd,service_cost_usd,recomputed_objective_usd,n_delayed,n_misconnected,n_skipped,n_swapped,total_fuel_t,total_co2_t,total_ets_eur,total_ets_usd,total_fueleu_penalty_usd,avg_ghg_gco2eq_per_mj,fueleu_compliant,cii_rating,attained_cii,required_cii,route_valid,strategy_consistent,timeline_monotone,objective_recompute_abs_gap,seed
alpha_0.0,alpha,0.0,0.0,48.0,Xpress,MIP_SOLUTION,True,False,0.011595199990551919,0.0015926571867618667,752257.8125,753457.8125,748757.8125,800.0,3900.0,0.0,0.0,511950.0,5000.0,753457.8125,516950.0,753457.8125,5,5,3,0,1247.9296875,3886.0530468749994,252593.44804687495,272800.92389062495,0.0,91.15999999999998,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
alpha_0.1,alpha,0.1,0.1,48.0,Xpress,MIP_SOLUTION,True,True,0.015843300003325567,0.0,728527.03125,728527.03125,748757.8125,500.0,3000.0,0.0,0.0,511950.0,3000.0,752257.8125,514950.0,728527.03125,5,3,3,0,1247.9296875,3886.0530468749994,252593.44804687495,272800.92389062495,0.0,91.15999999999998,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
alpha_0.2,alpha,0.2,0.2,48.0,Xpress,MIP_SOLUTION,True,True,0.014462499995715916,0.0,704796.25,704796.25,748757.8125,500.0,3000.0,0.0,0.0,511950.0,3000.0,752257.8125,514950.0,704796.25,5,3,3,0,1247.9296875,3886.0530468749994,252593.44804687495,272800.92389062495,0.0,91.15999999999998,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
alpha_0.3,alpha,0.3,0.3,48.0,Xpress,MIP_SOLUTION,True,True,0.0161324000073364,0.0,656016.6875,656016.6875,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,656016.6875,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
alpha_0.4,alpha,0.4,0.4,48.0,Xpress,MIP_SOLUTION,True,True,0.017285800000536256,0.0,600712.875,600712.875,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,600712.875,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
alpha_0.5,alpha,0.5,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.015454699998372234,0.0,545409.0625,545409.0625,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,545409.0625,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
alpha_0.6,alpha,0.6,0.6,48.0,Xpress,MIP_SOLUTION,True,True,0.013088300009258091,0.0,453949.0,453949.0,1093437.5,700.0,1750.0,0.0,0.0,24990.0,1000.0,1095887.5,25990.0,453949.0,1,1,1,2,1822.3958333333333,5674.940624999999,368871.14062499994,398380.831875,0.0,91.16,False,A,4.851205868524533,7.121011183356904,True,True,True,0.0,42
alpha_0.7,alpha,0.7,0.7,48.0,Xpress,MIP_SOLUTION,True,True,0.012582499999552965,1.708044099620002e-16,340785.46875000006,340785.46875,1132601.5625,600.0,2750.0,0.0,0.0,0.0,0.0,1135951.5625,0.0,340785.46875000006,0,0,2,2,1887.6692708333333,5878.202109374999,382083.137109375,412649.788078125,0.0,91.15999999999998,False,A,4.79657454865361,7.121011183356904,True,True,True,5.820766091346741e-11,42
alpha_0.8,alpha,0.8,0.8,48.0,Xpress,MIP_SOLUTION,True,False,0.01076979999197647,0.006557730989549173,227190.31249999994,228689.99999999994,1139000.0,1200.0,3250.0,0.0,0.0,0.0,0.0,1143450.0,0.0,228689.99999999994,0,0,1,2,1898.3333333333333,5911.41,384241.6499999999,414980.9819999999,0.0,91.16,False,A,4.7881176089421675,7.121011183356904,True,True,True,0.0,42
alpha_0.9,alpha,0.9,0.9,48.0,Xpress,MIP_SOLUTION,True,False,0.011087899998528883,0.0069051339773571726,113595.15624999997,114384.99999999997,1139000.0,1300.0,3550.0,0.0,0.0,0.0,0.0,1143850.0,0.0,114384.99999999997,0,0,1,2,1898.3333333333333,5911.41,384241.6499999999,414980.9819999999,0.0,91.16,False,A,4.7881176089421675,7.121011183356904,True,True,True,0.0,42
alpha_1.0,alpha,1.0,1.0,48.0,Xpress,MIP_SOLUTION,True,True,0.010193699999945238,0.0,0.0,0.0,1254117.1875,1000.0,8750.0,0.0,0.0,0.0,0.0,1263867.1875,0.0,0.0,0,0,3,2,2090.1953125,6508.868203124999,423076.43320312497,456922.547859375,0.0,91.16,False,A,5.33557521364456,7.121011183356904,True,False,True,0.0,42
